Id,SalePrice
2658,113505.16439747036
2718,163560.32166379126
2414,214156.08297718602
1989,105588.77610140416
625,168221.79274521858
333,100197.7361212196
1327,106908.08892180331
858,153519.36010077444
95,187990.26580034452
1568,155684.03754137043
2482,157093.83681136646
1364,122131.82944910816
2584,148056.32023986106
818,298151.09758799267
2673,150478.504803675
2089,121732.12805597758
1297,142355.0298636574
790,117626.13570278134
2616,187139.7332689029
720,176928.5906912853
222,150350.67229008008
557,123920.30693413389
1148,191094.69434652766
2766,167843.69661606042
534,179233.59209064455
1452,126463.61174138359
630,131196.83139079183
2648,102376.05912476506
125,158857.83732472034
1904,67722.61025641738
1670,112149.72478380975
756,101378.64849975576
717,175291.64918778237
1032,161976.11976954833
852,209267.01703428023
1731,176999.59497656973
2639,105037.79861471728
2071,90378.53867934279
1267,121056.28332883058
1851,186808.3615279742
567,164384.43477418533
2439,201030.70180282442
1898,151250.62073004278
647,160373.43457300347
2256,220086.47635798127
979,99276.97464902265
1444,218006.3929502243
2485,124540.75845803214
157,136002.6290006208
88,120849.68917748926
2003,105087.00666999261
186,179850.64021804123
1425,233672.5038676308
2695,125593.61158986556
738,104862.01221795425
395,149377.00701289147
1353,163120.70037864448
1878,138639.09207483992
390,162681.13544372405
1456,228474.47184703234
1103,330654.45573068643
1387,132701.5010660073
2070,139377.37153273725
1199,178326.48233523112
2479,176949.99251459437
501,290315.89569739363
2362,99753.97225478961
1718,187943.9152384537
2188,93568.24550450794
1483,156648.1392021457
2557,96173.22389313663
437,369710.5946742379
2224,168653.8935585177
1628,169566.39362767275
397,136265.52517543573
587,191302.06563121942
971,128521.37630727325
2611,147602.4092223312
1887,102910.18678620507
2399,366888.6535906894
2148,196077.90579595466
304,123876.71511235915
1997,136638.3667943076
2817,119670.59602616396
1431,198508.08715607048
427,338294.9143099618
263,129549.3746039449
598,166932.2435784988
2895,220749.8809821401
687,147740.90614389948
1822,142382.57376215764
2191,108852.19599077973
179,119894.58459958133
1009,209811.99331370238
2010,127832.43799518596
1991,136295.49287394472
1411,177486.44960216447
1721,213368.83890109725
1144,187515.63828104452
593,219002.20732385974
575,323664.3168210691
1249,161659.08663680844
1604,123492.66624146298
1064,564411.6613702157
1923,152027.67738756267
1988,107740.21700560578
2325,173103.42302887767
114,198636.28934056772
2700,185918.65098167278
217,122726.43706312952
343,170814.95423432018
386,219200.8358265892
2005,111984.85318027034
2908,134782.1092265403
1814,235452.6799125049
2446,630643.8744235598
208,131493.54541640502
1679,109006.13784798916
822,326639.09174952126
6,197725.3490280013
1781,433466.9195935309
2397,269200.35463354964
2340,310872.0219264811
1618,169115.2900816782
2843,130799.72427044321
1061,380770.4154650417
2786,137862.26684730258
1935,139750.5551723534
1341,120872.97770610309
521,261867.47622237078
2136,137540.3882993222
996,193595.45043664527
227,148448.11460864538
135,173180.28199225393
1167,157549.25544614572
294,227887.1471809193
1776,196180.92522889163
540,164631.86823657973
1717,193100.1707934864
2303,128062.22032558516
116,189324.04324553034
127,136866.9515731994
1371,134364.54204200002
1014,127763.26166637598
1507,101160.80898266517
702,124462.57737838387
750,132752.90902667344
261,158030.86100494734
1559,78029.39236964005
577,230022.05498742155
2812,194541.01343679623
2080,158076.1763064906
1368,109875.57706684663
2376,125385.22635850518
659,101864.20413969693
1235,132367.57368572115
332,89779.68701784308
1917,146323.42343572085
2094,249647.62135816342
1460,261103.99820912696
1471,212000.20198774908
1509,128286.82981505191
1922,135975.87786968186
433,569824.378268214
460,254643.1747519395
1116,235923.66592811016
1137,166943.84329125175
53,169955.65784578968
2354,267904.488769754
1475,191234.1055043835
1761,816717.353801744
842,148494.42246769552
2739,160249.2516956708
2509,151225.6696577576
1007,199831.00465019903
2610,182979.62519800558
1952,98050.2265610547
2719,168655.7738786577
2921,97506.77661088099
1966,148025.31783478856
292,95274.28485378722
1204,188655.9802386666
1829,255756.19980210808
2419,186120.78904258405
391,149434.77273645622
798,117644.95698168929
481,198154.5931172477
193,188396.078937911
555,120076.90205088402
899,61382.62641970226
2357,187147.0420840071
328,120348.40376099882
1356,118992.32646686767
1154,113089.39916274384
1730,173502.72075234388
2249,154532.057495598
1119,279640.82227609475
2856,136323.2876345124
1394,136814.38257242058
2587,119877.41721817966
61,320492.67354887276
2661,172174.20212817978
2711,138368.26595114716
1147,177208.24833329546
757,131005.67762216876
2623,102301.54943784392
2378,134690.94931858112
1413,132921.86755129197
1722,212311.9136188927
1112,208892.38117053517
1623,193878.39931618265
1201,184623.55390193732
1513,118648.06735167114
957,513956.0898444115
1171,264255.5279420532
1145,193202.42337063528
2726,233140.81677397282
703,143037.47879190397
760,99386.4651013217
1964,155718.27797703582
2512,182758.91830187922
159,146631.07571709834
1281,161905.1451400236
468,186072.21646734464
290,129476.07120157538
665,98777.91071461457
1463,257715.69050797902
1792,217462.73346293642
923,151335.86536623747
500,255482.0623342978
1408,173293.46571732362
331,91734.34117554408
170,117668.43041467648
2192,100283.1461293789
2571,335619.74820046214
2314,173530.07809210478
2647,93139.72662290942
422,435145.1044491331
2457,371219.4256000519
1838,203978.08677615487
2805,256630.63420082317
1645,155220.73139042975
1711,283707.65678189544
2825,234713.18535892185
322,348116.6970947196
2103,246945.21993628348
342,124365.51127676012
600,119209.44549045875
488,176060.40426208524
1725,311798.7606498051
2246,272025.92695264047
2847,160185.79213202986
806,240516.64607350357
530,229970.36695432215
963,199011.12533531818
2678,85241.60843611238
171,91772.52908102336
2401,458019.1159715708
805,231498.1362652172
2259,234674.05772798217
1748,184056.91891094766
1361,132413.33412620277
1677,111140.91251543643
1406,148455.76172928626
2322,260562.11813745217
688,149023.6331723192
143,146897.2794673474
804,207089.37799278175
1214,152606.71421450377
2828,142029.82666380456
1999,190767.6083338188
2467,196996.65893497513
2665,148283.82597372556
1538,350873.25959777884
398,117234.77443289032
2822,135877.89072675168
2157,147352.29123584728
1856,191654.6213949626
1269,98763.3821102161
2570,118897.71275964308
2320,228660.93725445852
1517,119649.09316563529
2304,126651.85635559974
1312,104321.41652734666
2012,133592.32515456143
506,241266.29204741732
2865,195998.78135591108
2367,101629.8293651552
554,79716.68007706857
238,133255.2228415323
1954,119163.62836507316
2488,132492.10485059826
2291,80681.58353056238
1969,108807.43936479001
2725,159061.25327500893
1482,154905.5608512325
2763,191441.91431290645
503,251064.35252648641
1584,254093.5332558953
1531,130450.839462149
2210,161146.77886740095
459,340642.2831305426
556,127611.79061766584
1347,129199.8858590157
1290,86722.65568999304
1388,96501.1187344572
1571,344913.3084462931
2754,199733.7254583817
765,129309.78915095898
2494,126906.39561944056
2870,220047.76426806918
7,211321.7599860124
1114,236802.08906672758
2418,280964.21362463257
291,131984.68179379214
18,281165.43971258425
39,386705.71227257734
1001,242094.54238563802
2442,227177.60811300852
616,116930.65719741
2680,73801.42114838374
1414,124962.43194836078
289,154917.4835276399
40,236623.015522387
860,130241.03014030421
409,136467.36195039746
673,157388.05567359822
2427,178198.37697761133
2036,207704.4449052378
2564,140869.39916671297
642,147878.5796347099
1008,183533.74765850464
1908,136973.67361828595
2519,183727.16676844892
1369,91435.55681661784
2855,169798.59655289812
712,96025.65711813938
1943,114993.83280438466
1958,125654.68699261059
107,161117.8127158587
2295,186266.70947370311
704,97918.63098819033
676,134793.5453414634
259,182270.6400839555
93,294681.1881061166
106,241352.99929952255
2315,175616.36637367617
1050,114405.30333012567
1095,201018.86083239218
2709,140600.72420181712
758,122965.51598059501
1496,153613.02329038884
2370,116555.04789144118
2458,282151.50653983577
2733,135515.155081777
161,237607.6700826235
726,147617.78118155018
845,205122.0361151653
947,240141.07526972145
2232,104432.86842614014
2563,144692.26343814432
2299,119049.43309644512
211,81551.50822165103
605,157884.60357839448
1478,199721.21039689382
2247,264290.0101163989
2274,206611.80943919552
2869,199508.05214732428
967,215064.9747454808
2656,115451.22794210016
667,192047.65413492965
1042,110069.31072994342
2023,147596.11503789763
2447,410497.51630465727
2055,128758.72217047063
2275,299550.7044849175
2204,163017.01880952888
1563,269078.23904415
483,197341.0214561289
796,126612.22410500838
1526,159389.7205296497
2042,125617.89564715848
